20, RL, Pave, NA, IR1, Lvl, AllPub, Corner, Gtl, NAmes, Norm, Norm, 1Fam, 1Story, 6, 5, Hip, CompShg, BrkFace, Plywood, Stone, TA, TA, CBlock, TA, Gd, Gd, BLQ, Unf, GasA, Fa, Y, SBrkr, TA, Typ, Gd, Attchd, Fin, TA, TA, P, NA, NA, NA, WD , Normal, 215000
20, RH, Pave, NA, Reg, Lvl, AllPub, Inside, Gtl, NAmes, Feedr, Norm, 1Fam, 1Story, 5, 6, Gable, CompShg, VinylSd, VinylSd, None, TA, TA, CBlock, TA, TA, No, Rec, LwQ, GasA, TA, Y, SBrkr, TA, Typ, NA, Attchd, Unf, TA, TA, Y, NA, MnPrv, NA, WD , Normal, 105000
20, RL, Pave, NA, IR1, Lvl, AllPub, Corner, Gtl, NAmes, Norm, Norm, 1Fam, 1Story, 6, 6, Hip, CompShg, Wd Sdng, Wd Sdng, BrkFace, TA, TA, CBlock, TA, TA, No, ALQ, Unf, GasA, TA, Y, SBrkr, Gd, Typ, NA, Attchd, Unf, TA, TA, Y, NA, NA, Gar2, WD , Normal, 172000
20, RL, Pave, NA, Reg, Lvl, AllPub, Corner, Gtl, NAmes, Norm, Norm, 1Fam, 1Story, 7, 5, Hip, CompShg, BrkFace, BrkFace, None, Gd, TA, CBlock, TA, TA, No, ALQ, Unf, GasA, Ex, Y, SBrkr, Ex, Typ, TA, Attchd, Fin, TA, TA, Y, NA, NA, NA, WD , Normal, 244000
60, RL, Pave, NA, IR1, Lvl, AllPub, Inside, Gtl, Gilbert, Norm, Norm, 1Fam, 2Story, 5, 5, Gable, CompShg, VinylSd, VinylSd, None, TA, TA, PConc, Gd, TA, No, GLQ, Unf, GasA, Gd, Y, SBrkr, TA, Typ, TA, Attchd, Fin, TA, TA, Y, NA, MnPrv, NA, WD , Normal, 189900
60, RL, Pave, NA, IR1, Lvl, AllPub, Inside, Gtl, Gilbert, Norm, Norm, 1Fam, 2Story, 6, 6, Gable, CompShg, VinylSd, VinylSd, BrkFace, TA, TA, PConc, TA, TA, No, GLQ, Unf, GasA, Ex, Y, SBrkr, Gd, Typ, Gd, Attchd, Fin, TA, TA, Y, NA, NA, NA, WD , Normal, 195500
120, RL, Pave, NA, Reg, Lvl, AllPub, Inside, Gtl, StoneBr, Norm, Norm, TwnhsE, 1Story, 8, 5, Gable, CompShg, CemntBd, CmentBd, None, Gd, TA, PConc, Gd, TA, Mn, GLQ, Unf, GasA, Ex, Y, SBrkr, Gd, Typ, NA, Attchd, Fin, TA, TA, Y, NA, NA, NA, WD , Normal, 213500
120, RL, Pave, NA, IR1, HLS, AllPub, Inside, Gtl, StoneBr, Norm, Norm, TwnhsE, 1Story, 8, 5, Gable, CompShg, HdBoard, HdBoard, None, Gd, TA, PConc, Gd, TA, No, ALQ, Unf, GasA, Ex, Y, SBrkr, Gd, Typ, NA, Attchd, RFn, TA, TA, Y, NA, NA, NA, WD , Normal, 191500
120, RL, Pave, NA, IR1, Lvl, AllPub, Inside, Gtl, StoneBr, Norm, Norm, TwnhsE, 1Story, 8, 5, Gable, CompShg, CemntBd, CmentBd, None, Gd, TA, PConc, Gd, TA, No, GLQ, Unf, GasA, Ex, Y, SBrkr, Gd, Typ, TA, Attchd, RFn, TA, TA, Y, NA, NA, NA, WD , Normal, 236500
60, RL, Pave, NA, Reg, Lvl, AllPub, Inside, Gtl, Gilbert, Norm, Norm, 1Fam, 2Story, 7, 5, Gable, CompShg, VinylSd, VinylSd, None, TA, TA, PConc, TA, TA, No, Unf, Unf, GasA, Gd, Y, SBrkr, Gd, Typ, TA, Attchd, Fin, TA, TA, Y, NA, NA, NA, WD , Normal, 189000
60, RL, Pave, NA, IR1, Lvl, AllPub, Corner, Gtl, Gilbert, Norm, Norm, 1Fam, 2Story, 6, 5, Gable, CompShg, HdBoard, HdBoard, None, TA, TA, PConc, Gd, TA, No, Unf, Unf, GasA, Gd, Y, SBrkr, TA, Typ, TA, Attchd, Fin, TA, TA, Y, NA, NA, NA, WD , Normal, 175900
